lang,input_total,kept,exact_dups,near_dups,sources
en,240,240,0,0,"wikipedia,tatoeba,udhr"
pt,240,240,0,0,"wikipedia,tatoeba,udhr"
es,240,240,0,0,"wikipedia,tatoeba,udhr"
tr,240,240,0,0,"wikipedia,tatoeba,udhr"
ja,240,240,0,0,"wikipedia,tatoeba,udhr"
eo,240,240,0,0,"wikipedia,tatoeba,udhr"
io,240,240,0,0,"wikipedia,tatoeba,udhr"
ia,240,239,1,0,"wikipedia,tatoeba,udhr"
ie,240,240,0,0,"wikipedia,tatoeba,udhr"
lfn,240,240,0,0,"wikipedia,tatoeba,udhr"
vo,240,240,0,0,"wikipedia,tatoeba,udhr"
avk,240,240,0,0,"wikipedia,tatoeba,udhr"
jbo,240,240,0,0,"wikipedia,tatoeba,udhr"
am,291,290,1,0,"wikipedia,tatoeba,udhr"
ka,298,298,0,0,"wikipedia,tatoeba,udhr"
kek,75,75,0,0,"wikipedia,tatoeba,udhr"
fuf,116,116,0,0,"wikipedia,tatoeba,udhr"
ur,348,348,0,0,"wikipedia,tatoeba,udhr"
lo,297,295,2,0,"wikipedia,tatoeba,udhr"
km,299,299,0,0,"wikipedia,tatoeba,udhr"
my,296,296,0,0,"wikipedia,tatoeba,udhr"
dz,195,194,1,0,"wikipedia,tatoeba,udhr"
yo,292,292,0,0,"wikipedia,tatoeba,udhr"
