split,lang,macro_f1,N,precision,recall,f1,support
test,ALL,0.9585139011970935,566.0,,,,
test,am,,,1.0,1.0,1.0,29.0
test,avk,,,0.92,0.9583333333333334,0.9387755102040817,24.0
test,dz,,,1.0,1.0,1.0,21.0
test,en,,,1.0,0.9583333333333334,0.9787234042553191,24.0
test,eo,,,0.9583333333333334,1.0,0.9787234042553191,23.0
test,es,,,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
test,fuf,,,1.0,1.0,1.0,13.0
test,ia,,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26.0
test,ie,,,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
test,io,,,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
test,ja,,,1.0,1.0,1.0,24.0
test,jbo,,,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
test,ka,,,1.0,1.0,1.0,30.0
test,kek,,,1.0,1.0,1.0,7.0
test,km,,,1.0,1.0,1.0,30.0
test,lfn,,,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
test,lo,,,1.0,1.0,1.0,29.0
test,my,,,1.0,1.0,1.0,30.0
test,pt,,,0.8214285714285714,0.92,0.8679245283018868,25.0
test,tr,,,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
test,ur,,,1.0,1.0,1.0,34.0
test,vo,,,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
test,yo,,,1.0,1.0,1.0,30.0
